,Id,Age,Gender,Marital_status,Num_comp_worked,Work_Experience,Last_salary,Salary_hike,Work_hours,Traveling_required,NoticePeriod_buyout,Job_type,Whether_comp_Possess_vehicle,Work_location,Traveltowork_distance_._time,Work_area_living_cost,Public_transport_nearby,Current_employment,Offer_letter_Processtime.week.,Bonus,Allowance,Overtime_pay,Emp_shares_scheme,Performance_incentive,Annual_leave,Medical_Family,Child_day_care,Nursing_room,Parking,Comp_size,Comp_rating,Work_life,Stresslevel,Accept_offer
10,11,19-26,Male,Single,0 to 2,8,7-10 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,5,No,No,No,Yes,Yes,More than 12 days,No,No,No,No,4,2,3,3,No
11,12,19-26,Female,Single,3 to 5,8 above,3.5-7 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More than 12 days,No,No,Yes,No,3,2,3,4,No
12,13,19-26,Male,Single,0 to 2,5,3.5-7 K,25-50%,Flexible Hours,Yes,No,Permanent,Yes,Town,Near,Average,No,Working,3,Yes,No,Yes,No,No,More than 12 days,No,No,No,Yes,3,2,3,2,Yes
13,14,34-40,Male,Single,0 to 2,5,7-10 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Town,Far,Average,No,Working,3,No,No,No,No,No,More than 12 days,No,No,No,Yes,4,2,3,4,Yes
14,15,19-26,Male,Married,3 to 5,5,7-10 K,50-75%,24/7 Operation,Yes,Yes,Permanent,Yes,Outskirt  Town,Near,Average,No,Working,4,Yes,No,No,No,No,More than 12 days,No,No,No,Yes,4,4,3,4,Yes
15,16,27-33,Female,Single,0 to 2,5,7-10 K,25-50%,Mon-Fri,No,No,Permanent,Yes,Town,Average,Average,No,Working,3,Yes,No,No,Yes,No,More than 12 days,Yes,No,Yes,Yes,4,4,0,2,Yes
16,17,34-40,Male,Single,0 to 2,5,10-15 K,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Average,Average,No,Working,3,No,No,No,No,No,More than 12 days,Yes,No,No,No,2,2,0,4,Yes
17,18,27-33,Female,Married,0 to 2,5,3.5-7 K,<25%,Mon-Fri,No,No,Contract,Yes,Outskirt  Town,Near,Average,No,Unemployed/resigned,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,3,2,3,2,No
18,19,27-33,Male,Married,0 to 2,8,7-10 K,50-75%,Mon-Fri,No,No,Permanent,Yes,Town,Average,Average,Yes,Working,3,Yes,No,Yes,No,Yes,More than 12 days,Yes,No,No,Yes,3,1,4,3,Yes
19,20,19-26,Female,Single,0 to 2,2,3.5-7 K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Near,High Cost,No,Working,3,No,No,No,No,No,Less than 12 days,No,No,No,No,1,1,3,3,No
20,21,19-26,Male,Single,0 to 2,2,3.5-7 K,25-50%,24/7 Operation,No,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,Yes,No,No,No,Less than 12 days,No,No,No,No,2,3,1,3,No
21,22,19-26,Female,Single,0 to 2,5,3.5-7 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Town,Near,High Cost,No,Working,3,Yes,No,Yes,No,No,More than 12 days,No,No,Yes,Yes,4,4,2,4,Yes
22,23,19-26,Male,Single,0 to 2,8,3.5-7 K,100% above,Mon-Fri,Yes,Yes,Permanent,Yes,Business Center,Average,High Cost,No,Working,4,No,No,No,No,No,Less than 12 days,No,No,No,Yes,1,2,4,3,Yes
23,24,19-26,Male,Single,3 to 5,2,3.5-7 K,<25%,Mon-Fri,Yes,No,Permanent,No,Business Center,Average,High Cost,Yes,Working,3,No,No,No,No,No,More than 12 days,No,No,No,No,2,3,3,4,No
24,25,27-33,Male,Single,0 to 2,8,3.5-7 K,25-50%,Flexible Hours,Yes,Yes,Permanent,Yes,Town,Near,High Cost,No,Working,4,Yes,No,No,No,Yes,More than 12 days,No,No,No,Yes,4,2,1,3,Yes
25,26,19-26,Male,Single,3 to 5,5,1-3.5 K,75-100%,Mon-Fri,Yes,Yes,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,No,No,No,Yes,More than 12 days,No,No,No,Yes,3,4,3,2,Yes
26,27,19-26,Male,Single,0 to 2,2,3.5-7 K,<25%,Mon-Fri,No,No,Contract,Yes,Town,Average,High Cost,Yes,Working,3,No,No,Yes,No,No,More than 12 days,No,No,No,No,4,0,3,1,No
27,28,40 above,Male,Single,0 to 2,8,7-10 K,50-75%,Mon-Fri,Yes,No,Contract,Yes,Business Center,Average,Average,Yes,Working,3,No,No,Yes,No,No,More than 12 days,Yes,No,No,No,4,1,0,2,Yes
28,29,27-33,Male,Single,0 to 2,5,1-3.5 K,25-50%,Mon-Fri,Yes,Yes,Permanent,Yes,Town,Near,High Cost,Yes,Unemployed/resigned,2,Yes,Yes,No,No,No,More than 12 days,No,No,No,Yes,2,2,3,3,Yes
29,30,19-26,Male,Single,0 to 2,2,3.5-7 K,<25%,24/7 Operation,No,No,Permanent,Yes,Town,Near,High Cost,No,Working,4,No,No,No,Yes,No,More than 12 days,No,No,No,No,4,3,3,1,No
30,31,34-40,Male,Single,0 to 2,8,7-10 K,50-75%,Mon-Fri,Yes,No,Permanent,Yes,Town,Near,Low Cost,No,Working,5,No,No,No,No,No,More than 12 days,Yes,No,No,Yes,3,4,3,2,Yes
31,32,19-26,Male,Single,0 to 2,5,3.5-7 K,100% above,24/7 Operation,No,Yes,Permanent,Yes,Business Center,Near,Average,No,Working,4,Yes,Yes,Yes,No,No,More than 12 days,No,No,No,No,3,4,4,3,Yes
32,33,27-33,Female,Single,0 to 2,5,1-3.5 K,25-50%,Mon-Fri,Yes,Yes,Permanent,Yes,Town,Near,Average,Yes,Unemployed/resigned,2,Yes,No,No,No,Yes,More than 12 days,No,No,No,No,3,4,3,2,Yes
33,34,27-33,Male,Single,3 to 5,5,3.5-7 K,25-50%,Mon-Fri,Yes,Yes,Contract,Yes,Business Center,Near,High Cost,No,Working,3,Yes,No,No,No,Yes,More than 12 days,No,Yes,No,Yes,4,3,2,3,Yes
34,35,27-33,Male,Single,0 to 2,5,3.5-7 K,50-75%,Mon-Fri,Yes,Yes,Contract,Yes,Business Center,Far,Average,Yes,Working,3,No,No,No,No,No,More than 12 days,No,No,No,No,3,2,3,4,Yes
35,36,19-26,Female,Single,0 to 2,2,3.5-7 K,25-50%,Flexible Hours,Yes,No,Permanent,Yes,Town,Near,Average,Yes,Working,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,4,2,3,3,Yes
36,37,34-40,Male,Single,0 to 2,5,15 K above,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Center,Average,Average,No,Working,5,Yes,No,No,No,No,Less than 12 days,No,No,No,No,0,2,0,4,No
37,38,19-26,Male,Single,0 to 2,5,7-10 K,50-75%,24/7 Operation,No,No,Contract,Yes,Business Center,Near,Average,No,Working,4,No,Yes,Yes,No,Yes,More than 12 days,No,No,No,Yes,4,2,3,3,Yes
38,39,27-33,Male,Single,0 to 2,5,7-10 K,25-50%,24/7 Operation,No,No,Permanent,No,Business Center,Near,High Cost,No,Working,3,No,No,No,No,No,More than 12 days,No,Yes,No,Yes,4,4,3,4,No
39,40,19-26,Male,Single,0 to 2,2,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,Average,Yes,Working,5,Yes,Yes,No,No,No,More than 12 days,No,No,No,No,4,2,3,2,Yes
40,41,27-33,Male,Single,0 to 2,2,3.5-7 K,25-50%,Mon-Fri,Yes,Yes,Permanent,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More than 12 days,No,No,No,No,4,2,3,1,Yes
41,42,27-33,Female,Single,0 to 2,5,3.5-7 K,50-75%,Mon-Fri,Yes,Yes,Contract,No,Business Center,Near,High Cost,No,Working,5,No,No,No,No,Yes,More than 12 days,No,No,No,No,2,1,3,4,No
42,43,27-33,Male,Married,3 to 5,8,3.5-7 K,<25%,Flexible Hours,No,No,Contract,Yes,Business Center,Near,High Cost,Yes,Working,3,Yes,No,Yes,Yes,No,More than 12 days,No,No,No,No,3,1,3,3,No
43,44,27-33,Male,Single,0 to 2,5,7-10 K,25-50%,Flexible Hours,Yes,No,Permanent,Yes,Town,Near,Average,No,Working,3,Yes,No,No,No,No,More than 12 days,No,No,No,Yes,3,2,3,4,Yes
44,45,40 above,Male,Married,3 to 5,8 above,7-10 K,50-75%,Flexible Hours,Yes,Yes,Permanent,Yes,Business Center,Near,High Cost,No,Working,4,No,No,Yes,Yes,Yes,More than 12 days,Yes,No,No,No,4,3,2,3,Yes
45,46,34-40,Male,Single,3 to 5,5,15 K above,25-50%,24/7 Operation,Yes,No,Permanent,Yes,Business Center,Near,High Cost,No,Working,2,Yes,No,No,No,No,More than 12 days,No,No,No,Yes,2,2,0,4,No
46,47,27-33,Male,Single,6 to 8,8,15 K above,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Center,Near,High Cost,No,Working,5,No,No,No,No,Yes,More than 12 days,No,No,No,No,2,2,3,4,No
47,48,19-26,Female,Single,0 to 2,2,3.5-7 K,25-50%,24/7 Operation,No,No,Permanent,Yes,Business Center,Far,High Cost,Yes,Working,3,No,No,No,No,No,More than 12 days,No,No,No,No,2,4,3,1,No
48,49,34-40,Female,Married,3 to 5,8,3.5-7 K,25-50%,24/7 Operation,No,No,Contract,Yes,Outskirt  Town,Near,Average,Yes,Working,2,No,No,No,No,No,Less than 12 days,No,No,No,Yes,2,2,3,4,No
49,50,27-33,Female,Married,0 to 2,5,1-3.5 K,50-75%,24/7 Operation,No,Yes,Permanent,Yes,Business Center,Near,High Cost,No,Working,3,Yes,Yes,No,No,No,More than 12 days,No,No,No,No,1,1,1,4,Yes
50,51,19-26,Female,Single,3 to 5,2,3.5-7 K,<25%,Mon-Fri,Yes,No,Contract,Yes,Business Center,Average,High Cost,No,Working,2,Yes,No,Yes,No,No,More than 12 days,No,No,Yes,No,3,4,1,2,No
51,52,19-26,Female,Single,0 to 2,2,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More than 12 days,No,No,No,No,0,4,3,3,Yes
52,53,19-26,Female,Single,0 to 2,5,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Center,Average,Average,Yes,Working,3,No,No,No,Yes,Yes,More than 12 days,No,No,Yes,No,3,4,2,2,No
53,54,34-40,Female,Married,3 to 5,8,3.5-7 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Town,Average,Average,No,Working,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,Yes,4,3,1,4,No
54,55,27-33,Female,Single,3 to 5,5,10-15 K,25-50%,Flexible Hours,Yes,No,Contract,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,No,Yes,No,No,More than 12 days,Yes,No,Yes,No,3,2,3,3,Yes
55,56,27-33,Female,Single,0 to 2,2,3.5-7 K,<25%,Mon-Fri,Yes,Yes,Permanent,Yes,Outskirt  Town,Far,Average,No,Working,5,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,4,1,0,4,No
56,57,27-33,Female,Married,0 to 2,5,7-10 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Business Center,Near,Average,Yes,Working,2,No,No,No,No,No,Less than 12 days,No,No,No,No,0,1,1,4,No
57,58,19-26,Female,Single,0 to 2,2,3.5-7 K,<25%,Mon-Fri,Yes,No,Contract,No,Outskirt  Town,Near,Average,No,Working,4,Yes,No,No,No,No,More than 12 days,No,No,No,Yes,2,3,4,2,No
58,59,19-26,Female,Married,0 to 2,5,3.5-7 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Near,Average,No,Working,3,No,No,No,No,No,More than 12 days,No,No,No,No,2,2,3,3,No
59,60,27-33,Female,Married,0 to 2,5,10-15 K,25-50%,Flexible Hours,No,No,Permanent,Yes,Town,Average,Low Cost,Yes,Working,3,Yes,No,No,No,No,More than 12 days,Yes,No,Yes,Yes,4,3,3,2,Yes
60,61,19-26,Female,Single,0 to 2,2,1-3.5 K,<25%,Mon-Fri,Yes,No,Permanent,Yes,Town,Average,Average,Yes,Unemployed/resigned,2,Yes,Yes,Yes,No,No,More than 12 days,No,Yes,Yes,Yes,4,2,4,3,Yes
61,62,19-26,Female,Married,0 to 2,5,3.5-7 K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Center,Average,High Cost,Yes,Working,5,Yes,Yes,Yes,No,No,More than 12 days,No,Yes,No,Yes,4,3,3,3,No
62,63,19-26,Female,Married,0 to 2,2,3.5-7 K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Center,Average,High Cost,Yes,Working,2,No,Yes,No,No,Yes,Less than 12 days,No,No,No,No,2,2,0,1,No
63,64,27-33,Female,Married,3 to 5,5,7-10 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Business Center,Far,High Cost,No,Working,3,No,No,No,No,No,More than 12 days,Yes,No,Yes,No,3,4,0,3,No
64,65,19-26,Female,Married,0 to 2,2,3.5-7 K,25-50%,Mon-Fri,No,No,Permanent,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,No,Yes,No,Yes,More than 12 days,No,No,Yes,Yes,3,2,3,3,Yes
65,66,19-26,Female,Married,0 to 2,2,1-3.5 K,<25%,Mon-Fri,No,No,Contract,No,Outskirt  Town,Far,Low Cost,No,Working,2,No,No,No,No,No,More than 12 days,No,No,Yes,No,4,2,3,2,No
66,67,34-40,Female,Married,3 to 5,8 above,7-10 K,<25%,Mon-Fri,No,No,Permanent,Yes,Outskirt  Town,Far,Low Cost,Yes,Working,3,Yes,No,No,No,No,More than 12 days,Yes,No,No,Yes,3,3,2,3,No
67,68,19-26,Female,Married,0 to 2,8,3.5-7 K,50-75%,Mon-Fri,No,Yes,Permanent,Yes,Business Center,Average,Average,Yes,Working,3,No,No,No,No,No,More than 12 days,No,Yes,No,No,0,3,3,1,Yes
68,69,19-26,Male,Married,3 to 5,5,3.5-7 K,25-50%,24/7 Operation,No,No,Permanent,Yes,Town,Average,Average,Yes,Working,3,Yes,Yes,Yes,Yes,No,More than 12 days,No,No,No,Yes,4,4,4,3,Yes
69,70,27-33,Female,Married,3 to 5,8,3.5-7 K,50-75%,Mon-Fri,No,Yes,Permanent,Yes,Town,Average,Low Cost,No,Working,3,Yes,No,No,No,Yes,More than 12 days,Yes,No,No,Yes,2,4,3,4,Yes
70,71,27-33,Female,Married,0 to 2,5,1-3.5 K,25-50%,Mon-Fri,No,Yes,Permanent,Yes,Town,Average,Average,No,Unemployed/resigned,3,Yes,No,No,No,No,More than 12 days,No,No,No,Yes,2,3,2,3,Yes
71,72,27-33,Female,Married,0 to 2,5,3.5-7 K,100% above,Flexible Hours,No,Yes,Permanent,Yes,Business Center,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,More than 12 days,No,Yes,Yes,No,3,3,4,1,Yes
72,73,19-26,Female,Married,0 to 2,5,1-3.5 K,50-75%,Mon-Fri,No,Yes,Permanent,Yes,Town,Near,Average,Yes,Unemployed/resigned,3,Yes,No,No,No,Yes,Less than 12 days,No,No,No,Yes,1,2,4,2,Yes
73,74,34-40,Female,Married,6 to 8,8,10-15 K,25-50%,Mon-Fri,Yes,No,Permanent,Yes,Business Center,Far,High Cost,No,Working,5,No,No,No,No,No,More than 12 days,No,Yes,No,Yes,0,2,0,3,No
74,75,19-26,Male,Single,3 to 5,2,3.5-7 K,25-50%,Flexible Hours,Yes,No,Permanent,Yes,Outskirt  Town,Average,Low Cost,No,Working,3,Yes,No,Yes,Yes,No,More than 12 days,No,No,No,Yes,3,3,2,3,Yes
75,76,19-26,Female,Married,0 to 2,5,3.5-7 K,50-75%,Flexible Hours,No,Yes,Permanent,No,Town,Near,Low Cost,Yes,Working,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,3,2,2,3,Yes
76,77,27-33,Female,Married,3 to 5,5,7-10 K,50-75%,Mon-Fri,No,No,Permanent,Yes,Outskirt  Town,Average,Low Cost,Yes,Working,3,No,No,No,No,Yes,More than 12 days,Yes,No,Yes,Yes,3,1,0,3,Yes
77,78,19-26,Female,Married,0 to 2,5,3.5-7 K,50-75%,24/7 Operation,Yes,Yes,Permanent,No,Town,Average,High Cost,No,Working,2,Yes,Yes,No,No,No,More than 12 days,No,Yes,No,No,4,2,2,2,No
78,79,19-26,Male,Single,0 to 2,2,1-3.5 K,25-50%,24/7 Operation,No,No,Permanent,Yes,Outskirt  Town,Average,Low Cost,No,Unemployed/resigned,3,Yes,Yes,No,No,No,More than 12 days,No,No,No,Yes,0,2,2,2,Yes
79,80,27-33,Female,Married,0 to 2,5,3.5-7 K,<25%,24/7 Operation,No,Yes,Permanent,Yes,Town,Near,Low Cost,No,Unemployed/resigned,3,No,Yes,No,Yes,No,More than 12 days,No,No,No,No,3,2,3,4,No
80,81,27-33,Female,Married,0 to 2,2,3.5-7 K,<25%,24/7 Operation,No,Yes,Permanent,No,Business Center,Far,Average,No,Unemployed/resigned,4,No,No,No,No,No,More than 12 days,No,No,No,No,3,2,4,3,No
81,82,19-26,Female,Married,6 to 8,5,3.5-7 K,25-50%,24/7 Operation,No,No,Permanent,No,Outskirt  Town,Average,High Cost,No,Working,3,No,No,No,No,No,Less than 12 days,No,No,No,Yes,1,2,3,2,No
82,83,19-26,Female,Single,0 to 2,2,1-3.5 K,<25%,Flexible Hours,No,No,Permanent,Yes,Town,Average,Average,No,Unemployed/resigned,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,3,2,3,4,Yes
83,84,27-33,Female,Single,0 to 2,2,3.5-7 K,<25%,Mon-Fri,Yes,No,Contract,No,Town,Average,Low Cost,No,Unemployed/resigned,3,No,No,No,No,No,More than 12 days,No,No,Yes,No,4,4,4,1,No
84,85,19-26,Female,Single,3 to 5,5,3.5-7 K,75-100%,24/7 Operation,No,Yes,Permanent,No,Town,Near,Average,Yes,Working,5,No,Yes,No,Yes,Yes,More than 12 days,No,No,Yes,No,3,3,2,4,Yes
85,86,19-26,Male,Married,0 to 2,2,1-3.5 K,<25%,Flexible Hours,No,No,Permanent,No,Town,Average,Average,Yes,Unemployed/resigned,3,Yes,No,Yes,No,No,More than 12 days,No,No,No,Yes,3,2,2,3,Yes
86,87,19-26,Male,Married,3 to 5,5,3.5-7 K,25-50%,24/7 Operation,No,No,Permanent,Yes,Town,Near,High Cost,No,Working,4,Yes,Yes,No,No,No,More than 12 days,No,No,No,Yes,1,3,3,2,Yes
87,88,19-26,Male,Married,0 to 2,2,1-3.5 K,<25%,24/7 Operation,No,No,Permanent,No,Town,Average,Average,Yes,Unemployed/resigned,2,Yes,Yes,No,No,Yes,More than 12 days,No,No,No,Yes,0,2,3,4,Yes
88,89,19-26,Male,Single,0 to 2,5,3.5-7 K,75-100%,24/7 Operation,No,Yes,Permanent,Yes,Business Center,Near,Low Cost,No,Working,5,No,Yes,No,No,Yes,More than 12 days,No,No,No,Yes,4,2,3,3,Yes
89,90,27-33,Male,Single,6 to 8,8,10-15 K,25-50%,24/7 Operation,No,No,Permanent,Yes,Business Center,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,Less than 12 days,No,No,No,No,0,1,2,1,No
90,91,34-40,Female,Single,6 to 8,8 above,7-10 K,50-75%,Mon-Fri,Yes,No,Permanent,Yes,Business Center,Average,High Cost,No,Working,5,Yes,No,No,No,Yes,More than 12 days,Yes,Yes,Yes,Yes,4,4,3,4,Yes
91,92,34-40,Male,Married,0 to 2,8 above,15 K above,<25%,Mon-Fri,Yes,No,Permanent,Yes,Business Center,Far,High Cost,Yes,Working,3,Yes,No,No,Yes,No,More than 12 days,Yes,No,No,No,3,4,3,3,No
92,93,34-40,Male,Married,3 to 5,8 above,15 K above,25-50%,Mon-Fri,No,Yes,Permanent,Yes,Outskirt  Town,Average,High Cost,Yes,Working,4,Yes,No,Yes,No,No,More than 12 days,Yes,No,No,Yes,4,2,2,3,Yes
93,94,34-40,Male,Married,9 above,8 above,10-15 K,75-100%,Flexible Hours,No,No,Permanent,Yes,Outskirt  Town,Far,Average,Yes,Working,3,No,No,No,No,Yes,More than 12 days,Yes,No,No,Yes,3,1,1,4,Yes
94,95,34-40,Female,Married,6 to 8,8,10-15 K,50-75%,24/7 Operation,No,Yes,Permanent,Yes,Outskirt  Town,Far,High Cost,No,Working,3,No,No,No,No,No,More than 12 days,No,No,No,Yes,1,2,3,4,No
95,96,34-40,Male,Single,3 to 5,8 above,7-10 K,50-75%,24/7 Operation,No,Yes,Contract,Yes,Town,Average,Average,Yes,Working,3,Yes,Yes,No,No,No,More than 12 days,No,No,No,No,4,2,4,2,No
96,97,34-40,Male,Single,9 above,8,15 K above,25-50%,Mon-Fri,No,No,Contract,Yes,Town,Near,Average,No,Working,5,No,No,No,No,No,More than 12 days,No,No,No,No,3,2,2,4,No
97,98,34-40,Female,Married,3 to 5,8,7-10 K,<25%,24/7 Operation,No,No,Contract,Yes,Business Center,Average,High Cost,Yes,Working,4,Yes,No,No,No,No,Less than 12 days,No,No,No,No,2,2,1,3,No
98,99,34-40,Male,Married,9 above,8,7-10 K,25-50%,24/7 Operation,No,No,Contract,Yes,Business Center,Far,High Cost,No,Working,3,Yes,No,No,No,No,More than 12 days,Yes,Yes,No,Yes,3,1,3,1,No
99,100,34-40,Male,Married,3 to 5,8 above,7-10 K,25-50%,Mon-Fri,Yes,No,Contract,Yes,Town,Far,High Cost,No,Working,3,No,No,No,No,Yes,Less than 12 days,No,No,No,No,2,3,2,4,No
100,101,19-26,Female,Married,3 to 5,5,3.5-7 K,25-50%,Flexible Hours,No,No,Permanent,Yes,Outskirt  Town,Average,High Cost,No,Working,3,Yes,No,Yes,Yes,No,More than 12 days,No,No,Yes,Yes,3,3,2,3,Yes
101,102,19-26,Female,Married,0 to 2,5,1-3.5 K,25-50%,24/7 Operation,No,No,Permanent,No,Outskirt  Town,Near,High Cost,No,Working,2,No,No,No,No,No,More than 12 days,No,No,No,Yes,0,2,2,2,No
102,103,19-26,Female,Single,3 to 5,2,1-3.5 K,<25%,Flexible Hours,Yes,No,Permanent,No,Town,Average,Average,Yes,Working,2,No,No,Yes,Yes,No,More than 12 days,No,No,Yes,No,3,2,2,3,No
103,104,19-26,Female,Single,3 to 5,5,3.5-7 K,25-50%,24/7 Operation,No,Yes,Permanent,Yes,Town,Near,High Cost,No,Working,4,Yes,Yes,No,No,No,More than 12 days,No,No,No,Yes,1,2,3,2,Yes
104,105,19-26,Female,Single,0 to 2,2,1-3.5 K,<25%,24/7 Operation,No,No,Permanent,No,Outskirt  Town,Average,Average,No,Working,2,No,Yes,No,No,Yes,More than 12 days,No,No,No,Yes,0,2,3,4,No
105,106,19-26,Female,Married,0 to 2,5,3.5-7 K,75-100%,24/7 Operation,No,Yes,Permanent,Yes,Business Center,Near,Low Cost,No,Working,5,Yes,Yes,Yes,No,Yes,More than 12 days,No,No,Yes,Yes,4,1,2,3,Yes
106,107,19-26,Male,Single,0 to 2,5,3.5-7 K,25-50%,Flexible Hours,Yes,Yes,Permanent,No,Town,Near,Low Cost,Yes,Unemployed/resigned,3,Yes,No,No,No,No,More than 12 days,No,No,No,No,3,2,2,4,Yes
107,108,27-33,Female,Single,3 to 5,5,7-10 K,50-75%,Mon-Fri,No,No,Permanent,Yes,Outskirt  Town,Average,Average,Yes,Working,3,No,No,No,No,Yes,More than 12 days,Yes,No,Yes,Yes,3,2,0,3,Yes
108,109,19-26,Female,Single,0 to 2,5,3.5-7 K,50-75%,24/7 Operation,Yes,Yes,Permanent,No,Town,Far,High Cost,No,Working,4,Yes,Yes,No,No,No,More than 12 days,No,Yes,Yes,No,4,3,2,2,No
109,110,27-33,Female,Single,3 to 5,5,3.5-7 K,50-75%,24/7 Operation,No,Yes,Permanent,Yes,Town,Near,Low Cost,Yes,Working,3,Yes,Yes,Yes,No,No,More than 12 days,No,No,Yes,Yes,3,2,3,4,Yes
110,111,27-33,Female,Single,0 to 2,5,3.5-7 K,<25%,24/7 Operation,No,Yes,Permanent,No,Business Center,Average,Average,No,Working,4,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,3,4,3,3,No
111,112,19-26,Male,Single,0 to 2,5,3.5-7 K,25-50%,24/7 Operation,No,Yes,Permanent,Yes,Outskirt  Town,Far,Average,No,Unemployed/resigned,3,Yes,Yes,No,No,No,Less than 12 days,No,No,No,Yes,1,2,3,2,Yes
112,113,27-33,Female,Married,6 to 8,8 above,10-15 K,25-50%,24/7 Operation,No,No,Permanent,Yes,Business Center,Average,Average,Yes,Working,4,Yes,No,No,No,No,Less than 12 days,No,No,No,No,0,1,2,1,No
113,114,27-33,Female,Single,0 to 2,8,15 K above,<25%,Mon-Fri,No,No,Permanent,Yes,Business Center,Average,Average,Yes,Working,3,Yes,No,No,No,No,More than 12 days,No,No,Yes,No,3,4,3,3,No
